id	name	enabled	description	pathing_enabled	list_delimiter	list_enabled	participation_enabled	case_insensitive	case_insensitive_date_enabled	report_suite
prop1	Event/Component Category (P1)	TRUE	"The main category or component an Interaction belongs to, e.g. ""Suggested Search"", ""Filter"", etc...
"	FALSE	,	TRUE	TRUE	FALSE		sirooplive
prop2	Event Action/Cause (P2)	TRUE	"What is causing an Event (e.g. a click on a suggested search result) - sometimes also simply used to further detail an Event (to remain aligned with GA)	"	FALSE	,	TRUE	TRUE	FALSE		sirooplive
prop3	Event Label (P3)	TRUE	"A readable description of an Event - sometimes also simply used to further detail an Event (to remain aligned with GA)	"	FALSE	,	TRUE	TRUE	FALSE		sirooplive
prop4	Event/Component Sub-Category (P4)	TRUE	"A variable to detail an interaction with a component. The meaning depends on the Component/Event Category.	"	FALSE	,	TRUE	TRUE	FALSE		sirooplive
prop5	Component Aspect 1 (P5)	TRUE	"A variable to detail an interaction with a component. The meaning depends on the Component/Event Category.	"	FALSE	,	TRUE	TRUE	FALSE		sirooplive
prop6	Component Aspect 2 (P6)	TRUE	"A variable to detail an interaction with a component. The meaning depends on the Component/Event Category.	"	FALSE	,	TRUE	TRUE	FALSE		sirooplive
prop7	Component ID (P7)	TRUE	Allows to distinguish several types of the same component on one page (e.g. several teaser boxes)	FALSE	,	TRUE	TRUE	FALSE		sirooplive
prop8	Component Location (P8)	TRUE	"Location where an interaction with a component happened (e.g. footer, header etc.)	"	FALSE	,	TRUE	TRUE	FALSE		sirooplive
prop9	Component Inner Location (P9)	TRUE	"The location inside of a component where an interaction happened (e.g. the position of a teaser within a teaser grid component)	"	FALSE	,	TRUE	TRUE	FALSE		sirooplive
prop10	Net Promoter Score Raw (P10)	TRUE		FALSE		FALSE	TRUE	FALSE		sirooplive
prop11	User Purchase History - per Hit (P11)	TRUE	Purchase History of a User (to identify Repeat Buyers)	FALSE		FALSE	FALSE	FALSE		sirooplive
prop12	Custom Traffic (P11)	FALSE		TRUE		FALSE	FALSE	FALSE		sirooplive
prop13	Internal Search - Clicked Result Position (P13)	TRUE	"The Position the internal Search Result had which was clicked
"	TRUE		FALSE	TRUE	FALSE		sirooplive
prop14	Internal Search Result Count (P14)	TRUE	"Number of Results in the Internal Search
"	TRUE		FALSE	TRUE	FALSE		sirooplive
prop15	Internal Search Term (P15)	TRUE	Internal Search Term - Use for Pathing and Hit-based correlations	TRUE		FALSE	TRUE	FALSE		sirooplive
prop17	Page Title (P17)	TRUE	The HTML Page Title, shortened to the first 100 characters	TRUE		FALSE	FALSE	FALSE		sirooplive
prop18	Site Section as Prop (P18)	TRUE	The Site Section (Page Category) as prop to allow Pathing Reports.	TRUE		FALSE	TRUE	FALSE		sirooplive
prop19	Clean URL (P19) - 100 char	TRUE	max 100 char - use for pathing reports only. For others, use the corresponding V variable (e.g. P1 => V1)	TRUE		FALSE	FALSE	FALSE		sirooplive
prop20	Full URL (P20) - debugging - 100 char	TRUE	"max 100 char - use for pathing reports only. For others, use the corresponding V variable (e.g. P1 => V1)
"	TRUE		FALSE	FALSE	FALSE		sirooplive
prop21	URL Hostname (P21) - 100 char	TRUE	"max 100 char - use for pathing reports only. For others, use the corresponding V variable (e.g. P1 => V1)
"	TRUE		FALSE	FALSE	FALSE		sirooplive
prop22	URL Pathname (P22) - 100 char	TRUE	"max 100 char - use for pathing reports only. For others, use the corresponding V variable (e.g. P1 => V1)
"	TRUE		FALSE	FALSE	FALSE		sirooplive
prop23	Full URL Query String (P23) - 100 char	TRUE	"max 100 char - use for pathing reports only. For others, use the corresponding V variable (e.g. P1 => V1)
"	TRUE		FALSE	FALSE	FALSE		sirooplive
prop24	URL Pathname + Clean Query String (P24) - 100 char	TRUE	"max 100 char - use for pathing reports only. For others, use the corresponding V variable (e.g. P1 => V1)
"	TRUE		FALSE	FALSE	FALSE		sirooplive
prop25	URL Hash (P25) - 100 char	TRUE	"max 100 char - use for pathing reports only. For others, use the corresponding V variable (e.g. P1 => V1)
"	TRUE		FALSE	FALSE	FALSE		sirooplive
prop26	Referrer of Current Page (P26) - 100 char	TRUE	"max 100 char - use for pathing reports only. For others, use the corresponding V variable (e.g. P1 => V1)
"	FALSE		FALSE	FALSE	FALSE		sirooplive
prop27	Clean URL Query String (P27) - 100 chars	TRUE	max 100 char - use for pathing reports only. For others, use the corresponding V variable (e.g. P1 => V1)	FALSE		FALSE	FALSE	FALSE		sirooplive
prop28	Event:Path+Clean QueryStr (P28)	TRUE	"Shows the Event Type (Event Category/""P"" for Pageview) plus Pathname+Clean Query String for any Hit (Pageview or Event) and thus allows Pathing for Event and Pageview Hits."	TRUE		FALSE	TRUE	FALSE		sirooplive
prop29	Event:Pathname (P29)	TRUE	"Shows the Event Type (Event Category/""P"" for Pageview) plus Pathname for any Hit (Pageview or Event) and thus allows Pathing for Event and Pageview Hits."	TRUE		FALSE	TRUE	FALSE		sirooplive
prop30	Siroop ID (Unique Customer ID, ucid) (P30)	TRUE	Unique Contact ID starting with resiroop. Only fallback. Use V30 prioritarily.	FALSE		FALSE	FALSE	FALSE		sirooplive
prop31	Tealium Environment (P31) - inactive since Jul 4 2017	FALSE		FALSE		FALSE	FALSE	FALSE		sirooplive
prop32	Weekday (P32)	TRUE	Day of the Week from Sunday to Saturday (1=Sunday, 7=Saturday). Available since 1/29/2016	TRUE		FALSE	FALSE	FALSE		sirooplive
prop33	Date (YYYYMMDD) (P33)	TRUE	Full Date in format YYYMMDD - available since April 22, 2016	FALSE		FALSE	FALSE	FALSE		sirooplive
prop34	V34 used (Registered User)	FALSE		FALSE		FALSE	FALSE	FALSE		sirooplive
prop35	Client ID (P35) - formerly Device ID	TRUE	"The value of the Client ID Cookie (general User Cookie) - earlier called ""Device ID"""	FALSE		FALSE	FALSE	FALSE		sirooplive
prop36	Reg. User ID (P36)	TRUE	"The value of the Reg. User ID Cookie ""siroid"""	FALSE		FALSE	FALSE	FALSE		sirooplive
prop37	Login Status (P37)	TRUE	y = user was logged in during this hit, n = user was not logged in	FALSE		FALSE	FALSE	FALSE		sirooplive
prop38	Payment Type of Completed Order (P38)	TRUE	Payment Type of an Order, tracked when order is completed only	FALSE		FALSE	FALSE	FALSE		sirooplive
prop39	Refund Reason (P39)	FALSE		FALSE		FALSE	FALSE	FALSE		sirooplive
prop40	Transaction ID (P40) - debugging only	TRUE	"Transaction ID as a prop - use for debugging purposes only, otherwise use V40
"	FALSE		FALSE	FALSE	FALSE		sirooplive
prop50	Cart Value (P50)	TRUE	Value in the shopping cart (since 3/6/2016). Only measured from the cart onwards.	FALSE		FALSE	FALSE	FALSE		sirooplive
prop55	Product List Name - Views & Clicks (P55)	TRUE	Name of Product Lists a user viewed or clicked. Multiple lists per page possible. Not to be confused with Product Display Context (V55). Be carefule when using with Product Dimensions (for clicke, V75 is the best solution)	FALSE	,	TRUE	TRUE	FALSE		sirooplive
prop56	Order Voucher Codes: Descr (P56-List)	TRUE	Voucher Codes: Descr used in an order (scheme voucherid/vouchername)	FALSE	,	TRUE	FALSE	FALSE		sirooplive
prop60	User ZIP Code (P60)	TRUE	User Zip Code. Is gathered in Checkout.	FALSE		FALSE	FALSE	FALSE		sirooplive
prop61	User Gender (P61)	TRUE	User Gender. Is gathered in Checkout.	FALSE		FALSE	FALSE	FALSE		sirooplive
prop62	User Age (P62)	TRUE	User Age. Is gathered in Checkout.	FALSE		FALSE	FALSE	FALSE		sirooplive
prop65	Mktg Touchpoint - last (P65)	TRUE		FALSE		FALSE	FALSE	FALSE		sirooplive
prop66	Mktg Touchpoint Path (P66)	TRUE		FALSE		FALSE	FALSE	FALSE		sirooplive
prop67	Mkt Granular Touchpoint - last (P67)	TRUE		FALSE		FALSE	FALSE	FALSE		sirooplive
prop68	Mkt Granular Touchpoint Path (P68)	TRUE		FALSE		FALSE	FALSE	FALSE		sirooplive
prop70	Hit: Campaign ID (P70) - pathing only	TRUE	Ignore for any analysis besides Pathing. Contains the Campaign ID as a prop, e.g. for Pathing Analysis	TRUE		FALSE	TRUE	FALSE		sirooplive
prop73	TV Spot Start (P73)	TRUE	Timestamp of the time when TV Spot started	FALSE	,	TRUE	FALSE	FALSE		sirooplive
prop74	Error Type (P74)	TRUE	Type of the Error	FALSE	,	TRUE	TRUE	FALSE		sirooplive
prop75	Error Value (P75)	TRUE	Error description. List variable (allows to send multiple values in one hit)	FALSE	,	TRUE	TRUE	FALSE		sirooplive
